                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7575,                 23.146,                 8.4531,                      0,                      0,                      0,                      0,                 4.5034,                 24.405,                 8.1364,             0.00029088,             0.00029088,             0.00029088
                      2,                  6.125,                 19.418,                 8.1683,                      0,                      0,                      0,                      0,                  4.425,                 24.338,                 7.9494,               0.000585,               0.000585,               0.000585
                      3,                  6.138,                 15.892,                  7.136,                      0,                      0,                      0,                      0,                 4.5808,                  24.55,                 8.0014,             0.00087318,             0.00087318,             0.00087318
                      4,                 5.8158,                 13.395,                 6.1826,                      0,                      0,                      0,                      0,                 4.9008,                 19.558,                 7.9099,               0.000882,               0.000882,               0.000882
                      5,                 5.2728,                 11.346,                 5.5468,                0.03344,                0.03002,                0.02026,                0.00638,                 5.0886,                 9.2707,                 4.5643,               0.000873,               0.000873,               0.000873
                      6,                 4.9852,                 10.118,                 5.0009,                0.09919,                0.22112,                0.09346,                0.02415,                 5.1018,                 7.7016,                 4.3829,               0.000864,               0.000864,               0.000864
                      7,                 4.7404,                 9.0498,                 4.7709,                0.14561,                0.18986,                0.10245,                 0.0448,                  5.079,                 7.3704,                 4.1816,             0.00085501,             0.00085501,             0.00085501
                      8,                 4.4922,                 8.3338,                 4.5219,                0.15089,                0.21828,                0.15079,                0.07362,                 4.1077,                 6.2442,                 3.4662,             0.00084601,             0.00084601,             0.00084601
                      9,                   4.22,                 7.7317,                  4.371,                0.16062,                0.22196,                0.13461,                0.05883,                 4.1441,                 6.0766,                 3.3776,             0.00083701,             0.00083701,             0.00083701
                     10,                 4.1258,                 7.3067,                 4.1727,                0.21408,                0.28868,                 0.2071,                0.08686,                  4.137,                 5.9054,                 3.4032,             0.00082801,             0.00082801,             0.00082801
                     11,                 3.9818,                 6.9124,                 3.9276,                0.19939,                0.30393,                0.21398,                0.12622,                  3.575,                 5.2543,                 3.0668,             0.00081901,             0.00081901,             0.00081901
                     12,                 3.6542,                 6.3787,                 3.7225,                0.34161,                0.38696,                0.21346,                0.13375,                 3.2169,                 4.9897,                 2.8525,             0.00081001,             0.00081001,             0.00081001
                     13,                 3.6602,                 6.0714,                 3.5763,                0.19299,                0.35807,                0.22465,                0.12317,                 3.6104,                 4.6443,                 2.9132,             0.00080101,             0.00080101,             0.00080101
                     14,                 3.6922,                 5.9724,                 3.5265,                0.18042,                0.33349,                0.22725,                0.12986,                 3.6543,                 4.7795,                 2.8097,             0.00079201,             0.00079201,             0.00079201
                     15,                 3.4718,                 5.6463,                  3.415,                0.29626,                0.36165,                0.23865,                0.15122,                 3.2572,                  4.415,                 2.7749,             0.00078301,             0.00078301,             0.00078301
                     16,                 3.2593,                 5.4824,                 3.3994,                0.17472,                0.40342,                0.22325,                0.13814,                 3.1248,                 3.9732,                 2.8836,             0.00077401,             0.00077401,             0.00077401
                     17,                 3.2027,                 5.2694,                 3.3263,                0.20534,                  0.497,                 0.2346,                0.15525,                 3.0427,                 3.9079,                 2.8769,             0.00076501,             0.00076501,             0.00076501
                     18,                 3.0852,                 5.0724,                 3.1724,                0.36139,                0.37357,                0.25827,                0.15427,                 3.2427,                 3.7791,                 2.6649,             0.00075602,             0.00075602,             0.00075602
                     19,                 3.0841,                 4.9035,                 3.0406,                0.22377,                0.43979,                0.28108,                 0.1948,                 2.7268,                 3.5244,                 2.5999,             0.00074702,             0.00074702,             0.00074702
                     20,                 2.8018,                 4.6252,                 3.0548,                0.23237,                 0.4863,                0.31253,                0.21007,                 2.7281,                 3.4032,                 2.5761,             0.00073802,             0.00073802,             0.00073802
                     21,                 2.8268,                 4.5386,                 2.9892,                0.26931,                0.44727,                0.29189,                0.19539,                 2.7414,                 3.2639,                 2.5446,             0.00072902,             0.00072902,             0.00072902
                     22,                 2.8015,                 4.4333,                 2.9358,                0.28987,                0.40036,                0.28836,                0.19028,                 2.9885,                 3.1708,                 2.4756,             0.00072002,             0.00072002,             0.00072002
                     23,                 2.7672,                 4.1735,                 2.8219,                0.43362,                0.31899,                0.29346,                0.18883,                 2.8687,                 3.0859,                 2.6083,             0.00071102,             0.00071102,             0.00071102
                     24,                 2.6627,                 4.1386,                 2.7902,                0.32924,                0.40995,                0.33384,                0.22298,                 2.7493,                   2.88,                  2.578,             0.00070202,             0.00070202,             0.00070202
                     25,                 2.5749,                 4.0218,                 2.7847,                0.33481,                0.34246,                0.31569,                0.22599,                 2.4402,                 2.7803,                 2.3295,             0.00069302,             0.00069302,             0.00069302
                     26,                   2.72,                 3.9629,                 2.7098,                0.29623,                0.46398,                0.31472,                 0.2088,                 2.7719,                 2.8962,                 2.4651,             0.00068402,             0.00068402,             0.00068402
                     27,                 2.5978,                 3.8035,                 2.6416,                0.47747,                0.40088,                0.32242,                0.22776,                 2.4098,                 2.9801,                 2.2164,             0.00067502,             0.00067502,             0.00067502
                     28,                 2.4166,                 3.6581,                 2.6559,                0.31003,                0.38778,                 0.3327,                0.22929,                  2.437,                  2.777,                 2.3927,             0.00066602,             0.00066602,             0.00066602
                     29,                 2.4255,                 3.7131,                 2.5901,                0.44229,                 0.3896,                0.35569,                0.25504,                  2.352,                 2.7073,                 2.3448,             0.00065703,             0.00065703,             0.00065703
                     30,                 2.4075,                 3.5507,                 2.5597,                0.28836,                0.44756,                0.34328,                0.22078,                 2.5215,                 2.7341,                 2.3056,             0.00064803,             0.00064803,             0.00064803
                     31,                 2.2991,                 3.5388,                 2.5681,                0.43148,                0.42943,                0.36012,                0.24949,                 2.3487,                 2.7503,                 2.3015,             0.00063903,             0.00063903,             0.00063903
                     32,                 2.2417,                 3.4736,                 2.5271,                 0.2837,                0.41301,                0.31647,                0.23444,                 2.2125,                 2.7108,                 2.1845,             0.00063003,             0.00063003,             0.00063003
                     33,                 2.1228,                 3.3247,                 2.4599,                0.36159,                0.35811,                0.36212,                0.26169,                 2.2022,                 2.5346,                 2.1198,             0.00062103,             0.00062103,             0.00062103
                     34,                 2.2434,                 3.2944,                 2.4562,                0.34956,                0.39747,                0.36266,                0.25092,                 2.3491,                 2.6179,                 2.2303,             0.00061203,             0.00061203,             0.00061203
                     35,                 2.2058,                 3.3104,                 2.4547,                0.30342,                 0.3781,                0.33747,                0.23682,                 2.3435,                 2.6835,                 2.2586,             0.00060303,             0.00060303,             0.00060303
                     36,                 2.2027,                 3.2077,                 2.3931,                0.50847,                0.44368,                0.35334,                0.26366,                 2.3303,                 2.6351,                 2.1327,             0.00059403,             0.00059403,             0.00059403
                     37,                 2.1904,                  3.277,                 2.3982,                0.45058,                0.37318,                0.34008,                0.23066,                 2.6376,                 2.7306,                  2.142,             0.00058503,             0.00058503,             0.00058503
                     38,                 2.1533,                 3.1721,                 2.4062,                0.29741,                0.55486,                0.35294,                0.24316,                 2.3926,                 2.6143,                 2.0163,             0.00057603,             0.00057603,             0.00057603
                     39,                 2.1248,                 3.0378,                 2.3914,                0.46889,                0.46256,                0.37566,                 0.2805,                 2.1427,                 2.4396,                 1.9819,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.9518,                 2.9563,                 2.3323,                0.49384,                0.48016,                0.39353,                0.29075,                 2.0777,                 2.2925,                 2.0451,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.9246,                 2.8954,                 2.2464,                0.32316,                0.46624,                 0.4002,                0.30103,                  1.969,                 2.4217,                 1.9985,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.9168,                 2.8837,                 2.2739,                0.33027,                0.49642,                0.37727,                0.28763,                 1.9618,                 2.3873,                 1.9695,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.9318,                 2.8839,                 2.2973,                0.35324,                0.52997,                 0.4299,                0.33858,                 2.0641,                 2.4659,                 2.0554,             0.00053104,             0.00053104,             0.00053104
                     44,                  1.895,                 2.7995,                 2.2458,                0.32522,                0.62868,                0.42501,                0.32687,                  2.044,                 2.3258,                 1.9383,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.8603,                 2.7085,                 2.2591,                0.50388,                0.49197,                0.42596,                0.32531,                  2.002,                 2.2623,                 1.9833,             0.00051304,             0.00051304,             0.00051304
                     46,                 1.8776,                 2.7585,                 2.2359,                0.41532,                0.56119,                 0.4531,                  0.348,                 2.0334,                 2.2441,                 1.8662,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.9378,                 2.7184,                 2.2579,                0.40954,                0.50861,                0.43973,                0.34273,                 1.9055,                 2.0842,                 1.8455,             0.00049504,             0.00049504,             0.00049504
                     48,                  1.823,                 2.5546,                 2.1965,                 0.5489,                0.47651,                0.45206,                0.34453,                 1.9426,                 2.0085,                 1.9231,             0.00048604,             0.00048604,             0.00048604
                     49,                 1.7244,                 2.6622,                 2.1708,                 0.5656,                0.47336,                0.42988,                0.33768,                  1.833,                 2.1549,                 1.7583,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.7314,                 2.5934,                 2.1475,                0.53835,                0.49309,                0.43672,                0.33835,                 1.8707,                 2.0674,                 1.7804,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.7633,                 2.5495,                 2.1664,                0.40045,                0.56149,                0.47965,                0.37719,                   1.89,                 1.9453,                 1.7815,             0.00045904,             0.00045904,             0.00045904
                     52,                 1.6639,                  2.479,                 2.1221,                0.35788,                0.54899,                0.43645,                0.33759,                 1.9368,                 2.0122,                 1.7741,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.7224,                 2.5424,                 2.1571,                0.58452,                0.47171,                0.45823,                0.36813,                 1.7475,                 1.9269,                 1.7149,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.5929,                 2.3784,                  2.125,                0.57561,                0.48963,                0.46023,                0.37645,                 1.7319,                 1.9563,                 1.7645,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.6705,                  2.368,                 2.1463,                0.38952,                0.48727,                 0.4392,                0.34208,                 1.7907,                 2.0887,                 1.7634,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.6417,                 2.3534,                 2.2001,                0.55407,                0.48785,                0.44228,                0.34887,                 1.7613,                 2.0644,                 1.7581,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.6998,                 2.3553,                 2.1064,                0.51854,                0.55549,                0.47192,                0.37702,                 1.8256,                 2.0364,                 1.7337,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.6379,                  2.343,                 2.0873,                0.38709,                 0.6525,                0.49299,                0.39491,                 1.7974,                 1.8641,                 1.6844,             0.00039605,             0.00039605,             0.00039605
                     59,                  1.574,                 2.3103,                 2.0482,                0.36176,                 0.6728,                0.47884,                0.36985,                 1.8105,                 1.8976,                 1.7473,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.5883,                 2.2769,                 2.0692,                0.38977,                0.55587,                 0.4771,                0.36657,                 2.0023,                 1.8698,                 1.6843,             0.00037805,             0.00037805,             0.00037805
                     61,                 1.5758,                 2.2163,                 2.0827,                0.37509,                0.72422,                0.49321,                 0.3959,                 1.8066,                 1.8464,                 1.6506,             0.00036905,             0.00036905,             0.00036905
                     62,                 1.5213,                  2.124,                 2.0498,                0.54336,                0.53854,                0.48376,                0.39061,                 1.7054,                 1.8926,                 1.6388,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.4857,                 2.1856,                   2.01,                0.45622,                0.58787,                0.47506,                 0.3856,                 1.7251,                 1.9212,                 1.6537,             0.00035106,             0.00035106,             0.00035106
                     64,                 1.5356,                 2.2644,                 2.0102,                0.57251,                0.54716,                0.48032,                0.38304,                 1.7334,                 1.8576,                 1.6284,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.5368,                 2.1995,                 2.0722,                0.38837,                0.62159,                0.48906,                0.39288,                 1.7243,                 1.7939,                 1.6122,             0.00033306,             0.00033306,             0.00033306
                     66,                 1.4586,                  2.152,                  2.021,                0.35511,                 0.6997,                0.50114,                0.39798,                 1.7113,                 1.7052,                 1.6491,             0.00032406,             0.00032406,             0.00032406
                     67,                 1.4833,                 2.1394,                 2.0109,                0.43036,                0.57117,                0.48426,                0.39289,                 1.6105,                 1.7063,                 1.6127,             0.00031506,             0.00031506,             0.00031506
                     68,                 1.4595,                 2.1083,                 1.9756,                0.43858,                0.51858,                0.47655,                 0.4025,                 1.5424,                 1.6667,                  1.602,             0.00030606,             0.00030606,             0.00030606
                     69,                 1.4784,                 2.1201,                 1.9985,                0.40186,                0.64302,                0.51219,                0.42616,                 1.5858,                 1.7063,                 1.6097,             0.00029706,             0.00029706,             0.00029706
                     70,                 1.4995,                 2.1457,                 1.9948,                0.47763,                0.65377,                0.51511,                0.40951,                 1.6438,                 1.7559,                 1.6276,             0.00028806,             0.00028806,             0.00028806
                     71,                 1.5361,                 2.1024,                 2.0054,                0.40909,                0.67441,                0.50529,                0.40087,                 1.6946,                 1.7951,                 1.5854,             0.00027906,             0.00027906,             0.00027906
                     72,                 1.4503,                 2.0922,                 1.9595,                0.38704,                0.59933,                0.48665,                0.40244,                 1.5865,                 1.6991,                  1.587,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.4331,                  1.999,                   1.98,                0.43966,                 0.6483,                0.53379,                 0.4432,                 1.6403,                 1.6797,                 1.5866,             0.00026106,             0.00026106,             0.00026106
                     74,                 1.4584,                 2.0657,                 1.9196,                0.48804,                0.66595,                0.54677,                0.44043,                 1.6327,                 1.6591,                 1.5685,             0.00025207,             0.00025207,             0.00025207
                     75,                  1.431,                 2.0189,                 1.9788,                0.48209,                0.58415,                0.50002,                0.40823,                 1.6444,                 1.7418,                 1.5961,             0.00024307,             0.00024307,             0.00024307
                     76,                 1.4254,                 2.0313,                 2.0071,                0.37253,                  0.779,                 0.5323,                0.43694,                 1.6292,                 1.7157,                 1.5791,             0.00023407,             0.00023407,             0.00023407
                     77,                 1.3932,                 2.0344,                 1.9569,                0.42548,                0.67637,                0.51398,                0.42058,                 1.5629,                 1.6645,                 1.5789,             0.00022507,             0.00022507,             0.00022507
                     78,                 1.3119,                 1.9537,                 1.9301,                0.45392,                0.69496,                0.51772,                0.42926,                 1.5765,                   1.63,                 1.5685,             0.00021607,             0.00021607,             0.00021607
                     79,                 1.3169,                 1.9195,                 1.9816,                0.45034,                0.69595,                0.51612,                0.42626,                 1.5807,                 1.6086,                 1.5673,             0.00020707,             0.00020707,             0.00020707
                     80,                 1.3678,                  1.908,                 1.9421,                0.40913,                0.76728,                0.57361,                0.47539,                 1.6075,                 1.6274,                  1.593,             0.00019807,             0.00019807,             0.00019807
                     81,                  1.314,                 1.9422,                 1.9717,                0.46449,                0.73805,                 0.5728,                0.47218,                 1.6389,                 1.6072,                  1.531,             0.00018907,             0.00018907,             0.00018907
                     82,                 1.3581,                 1.9443,                  1.931,                0.46917,                0.67176,                0.52162,                0.43241,                 1.5617,                 1.6641,                  1.533,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.3339,                 1.9001,                 1.9382,                0.48775,                0.69726,                0.57053,                0.48106,                 1.5348,                 1.6206,                 1.5561,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.4156,                 2.0523,                 1.9793,                0.46375,                0.68744,                0.54569,                0.45824,                  1.542,                 1.6346,                 1.5736,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.3971,                 1.8859,                 1.9116,                0.45602,                0.67099,                0.53982,                0.44513,                  1.535,                 1.6122,                 1.5419,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.3032,                 1.9333,                 1.9556,                0.47897,                0.65471,                0.54307,                0.45296,                 1.4833,                 1.5762,                 1.5375,             0.00014408,             0.00014408,             0.00014408
                     87,                  1.386,                 1.9089,                 1.8722,                0.55065,                0.67495,                0.61524,                 0.5282,                 1.4855,                 1.5448,                  1.547,             0.00013508,             0.00013508,             0.00013508
                     88,                 1.2358,                 1.7831,                 1.9091,                0.46673,                0.63652,                0.51803,                0.43355,                 1.5344,                  1.625,                 1.5273,             0.00012608,             0.00012608,             0.00012608
                     89,                 1.2435,                 1.8374,                 1.9316,                0.52346,                0.65013,                0.60159,                0.51206,                 1.4613,                 1.5308,                 1.5243,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.2725,                 1.8723,                 1.9437,                0.48552,                0.63424,                0.57472,                0.48871,                 1.5118,                 1.5723,                 1.5625,             0.00010808,             0.00010808,             0.00010808
                     91,                  1.442,                 1.9763,                 1.8912,                0.52947,                0.66913,                0.60386,                0.50379,                 1.5174,                 1.5423,                 1.4773,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.3566,                 1.8462,                 1.8364,                0.54554,                0.66463,                0.59782,                0.48893,                 1.5999,                 1.5517,                 1.5085,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.3246,                 1.7669,                 1.8279,                0.54347,                0.61841,                0.57427,                0.47837,                 1.4968,                 1.5558,                 1.5053,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 1.3212,                 1.6962,                 1.7975,                 0.5185,                0.67724,                0.58938,                 0.4859,                 1.5377,                 1.5477,                 1.5227,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.2877,                 1.7141,                 1.8103,                0.53691,                0.66745,                0.59606,                0.50279,                 1.4781,                  1.521,                 1.4963,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 1.2901,                 1.6794,                 1.7844,                0.55714,                0.62585,                 0.5818,                0.47954,                 1.5109,                 1.5432,                  1.519,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 1.2546,                  1.679,                  1.777,                0.56764,                0.66873,                0.60146,                0.50097,                 1.4555,                 1.5136,                 1.4983,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.3049,                 1.6764,                 1.7884,                0.57028,                 0.6247,                0.59926,                0.50151,                 1.4718,                 1.5106,                 1.5024,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.2462,                 1.6424,                 1.7749,                0.60035,                0.64889,                0.60844,                0.51107,                 1.4625,                 1.4973,                 1.5105,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 1.2519,                 1.6109,                 1.8021,                0.59042,                0.66439,                0.61171,                0.51308,                 1.4717,                 1.4962,                 1.4894,             1.8089e-05,             1.8089e-05,             1.8089e-05
